[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/block/crystalmush_stairs.json: default/crystalmush/crystalmush_planks_anim
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/block/crystalmush_leaves.json: default/crystalmush/crystalmush_leaves_anim
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/block/crystalmush_leaves.json: default/crystalmush/crystalmush_leaves_anim
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/gold_cog.json: default/gold_cog
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/block/crystalmush_door_lower.json: default/crystalmush/crystalmush_door_bottom_anim
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/block/crystalmush_door_lower.json: default/crystalmush/crystalmush_door_top_anim
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/grape_seeds.json: default/grape_seeds
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/glass_sword.json: default/glass_sword
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/block/crystalmush_slab.json: default/crystalmush/crystalmush_planks_anim
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/block/crystalmush_slab.json: default/crystalmush/crystalmush_planks_anim
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/block/crystalmush_slab.json: default/crystalmush/crystalmush_planks_anim
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/crystalmush_stairs.json: default/crystalmush/crystalmush_planks_anim
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/crystalmush_stairs.json: default/crystalmush/crystalmush_planks_anim
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/crystalmush_stairs.json: default/crystalmush/crystalmush_planks_anim
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/iron_serpe.json: default/iron_serpe
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/obsidian_chestplate.json: default/armors/obsidian_chestplate
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/orax_ore.json: default/orax_ore
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/onyx_ore.json: default/onyx_ore
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/daffodil.json: default/flowers/daffodil
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/obsidian_sword.json: default/obsidian_sword
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/crystalmush_leaves.json: default/crystalmush/crystalmush_leaves_anim
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

[05:29:09] [Server thread/INFO]: Oraxen | Found invalid texture-path inside model-file assets/minecraft/models/iron_cog.json: default/iron_cog
[05:29:09] [Server thread/INFO]: Oraxen | Verify that you have a texture in said path.

